Real,Regressão Linear,Random Forest,Gradient Boosting,XGBoost,Erro Percentual Reg. Linear,Erro Percentual RF,Erro Percentual GB,Erro Percentual XGB
1393.0,1133.5625,1327.9,1602.7090562904782,1394.9824,0.18624371859296482,0.04673366834170848,0.1505449076026405,0.0014231312814070353
1880.0,2746.5625,2105.38,2419.083184549192,987.5064,0.4609375,0.11988297872340431,0.28674637476020853,0.4747306336747839
1199.0,2142.0625,1818.54,1931.130483002473,1137.7682,0.7865408673894912,0.5167139282735612,0.6106175838219124,0.05106906715883028
3069.0,2904.3125,3247.0725,2892.8740930047543,3480.3357,0.05366161616161616,0.05802297165200398,0.0573886956647917,0.134029225597711
3972.0,4455.4375,3529.43,3818.180601301005,4225.074,0.12171135448136959,0.11142245720040286,0.038725931193100444,0.0637145565835851
14896.0,4565.5625,4710.48,4324.371013594173,5600.746,0.6935041286251342,0.6837755102040817,0.709695823469779,0.6240100635237648
2302.0,4092.4375,3334.46,3326.6990501260857,2414.4622,0.777774761077324,0.4485056472632494,0.44513425287840386,0.04885410868945482
731.0,-137.4375,966.87,569.487516994608,635.2915,1.1880129958960328,0.32266757865937074,0.22094730917290292,0.13092817523084815
1433.0,985.0625,1490.39,1329.6827463195168,1593.4432,0.31258722958827634,0.040048848569434824,0.07209857200312854,0.11196318025449233
1338.0,1404.3125,2217.63,1285.5611957692981,2289.729,0.04956091180866966,0.6574215246636772,0.03919193141308062,0.7113071778073617
1295.0,1945.5625,1848.29,1494.8890868175615,2316.1973,0.5023648648648649,0.42725096525096523,0.1543545071950282,0.788569317084942
1872.0,2272.3125,2059.99,2278.2814272264786,2075.7798,0.21384214743589744,0.10042200854700843,0.2170306769372215,0.10885672283987714
884.0,2202.8125,1827.1,2007.6372836717521,2661.1062,1.4918693438914028,1.0668552036199095,1.2710829000811676,2.01030113254737
2538.0,2665.5625,1669.89,2133.0988708102445,2313.5884,0.05026103230890465,0.34204491725768316,0.1595355118950967,0.0884206544892632
3105.0,3226.8125,1564.19,2556.065380732149,2181.3672,0.039231078904991945,0.49623510466988724,0.17679053760639318,0.2974662842190016
7629.0,6713.0625,6321.9,6419.127825273529,4524.118,0.1200599685410932,0.1713330711757767,0.15858856661770493,0.4069841179627081
2171.0,1214.9375,1277.57,1161.0209233188057,1349.4944,0.4403788576692768,0.41152924919391987,0.4652137617140462,0.3783996385234339
2779.0,5251.5625,4548.79,3963.3573390596694,3980.6277,0.8897310183519251,0.6368441885570348,0.4261811223676392,0.43239571268329435
1138.0,-246.6875,1478.81,1145.0432882159828,1371.233,1.2167728471001757,0.2994815465729349,0.006189181209123712,0.204949940445134
1657.0,2159.9375,2297.99,2140.8900237742514,2069.4556,0.3035229330114665,0.38683765841882906,0.2920277753616484,0.24891705878470127
2767.0,2228.5625,2391.72,1991.793703394701,2285.8044,0.19459251897361762,0.13562703288760397,0.28016129259316913,0.17390515238186663
